A,315
B,235
C,15
D,226
E,271
F,203
G,485
H,204
I,86
J,21
K,200
L,130
M,249
N,151
O,23
P,83
Q,2
R,134
S,579
T,204
U,119
V,250
W,244
X,1
Y,1
Z,220
a,5322
b,1541
c,3470
d,4628
e,17528
f,1519
g,3080
h,5298
i,7485
j,129
k,1068
l,3432
m,2662
n,10120
o,2316
p,427
q,8
r,7944
s,5668
t,5931
u,3906
v,633
w,1623
x,2
y,1
z,1223
