A,2391
B,549
C,1115
D,596
E,600
F,325
G,355
H,367
I,982
J,293
K,212
L,1984
M,583
N,489
O,361
P,695
Q,47
R,337
S,842
T,439
U,275
V,331
W,78
X,241
Y,52
Z,97
a,40037
b,4867
c,16316
d,22012
e,73005
f,6008
g,5867
h,4285
i,37400
j,847
k,490
l,28927
m,13061
n,38770
o,27489
p,14455
q,4546
r,35075
s,42424
t,36685
u,27908
v,6015
w,183
x,2143
y,1703
z,471
